Categoría,Imagen,Sku,Título,Descripción,Costo,Dimensiones,Peso
LABORATORIO,,E4-1K-40,LIMPIADOR ULTRASONICO DIGITAL,"Tina ultrasonica de 2.5 L para proceso de limpieza y desinfecciòn de instrumental dental por medio de ondas y vibraciones. Potencia de 160V, cinco ciclos de limpieza de 8 minutos con temporizador digítal, función de agua caliente y desagüe.","$3,188.00","28,8 x 22,2 x 17,5cm","2,5kg"
LABORATORIO,,E36-1K-1,OLLA A PRESION P/ELIMINAR BURBUJAS ACCIONADA C/AGUA,"● Voltaje: 220V, Potencia: 65W, Corriente: 0.1A, Tamaño: 21*15*19CM, Tamaño del forro interior: 10*9cm, Peso neto: 3,4 KG, Presión máxima: 4 KG/CM","$11,025.00",32*29*25,4kg
LABORATORIO,,E4-1K-1,ARENADOR KINGDEN,"● Voltaje: 110V/50HZ, 15W, presión:4kg partícula de arena: 100- 120. MOD DE USO: 1.Inserte firmemente cada junta de tubería. 2.Inserte el cable de alimentación y el tubo del interruptor en las tomas correspondientes 3.Desatornille la tapa del recipiente de arena y vierta la arena hasta la mitad de la altura del recipiente. No entierre el tubo de chorro de arena, de lo contrario afectará el efecto de voladura y bloqueará la trayectoria del gas.","$6,525.00",48*48*36,5.5gr
LABORATORIO,,E4-1K-3,ARENADOR KINGDEN DE ALTO PULIDO,"● Equipo para pulido y limpieza con chorro de arena. Voltaje de 220V / 50HZ, rango de ajuste de presión: 0 ~ 0.65MPa, presión de trabajo 0,4~0.6 Mpa","$5,850.00","38,1 x 30,48 x 50,8 cm",24 kg
LABORATORIO,,E16-1K-1,MAQUINA ASPIRADORA KINGDEN DE LABORATORIO,"● Fácil cambio, filtro fino que impide micropartículas, aspiración por potente, motor recubierto por placas de aislamiento y reduce al mínimo el ruido. Aspiración regulable para flujo exacto en cada puesto de trabajo, hasta 2 puestos de trabajo máximo 2 bocas de aspiración simultáneas como para arenadoras que requieran de un sistema de aspiración.","$3,915.00",31*31*47.3,3kg
LABORATORIO,,E21-1K-2,RECORTADORA DE YESO KINGDEN MOD 450-40,"● Voltaje:110V, potencia:100W, velocidad del motor: 5500 rotaciones x seg, dimensiones externas: 25*21*30cm, peso total:4.5 kg","$4,028.00",29.4X17.9X19.4 cm,3.95kg
LABORATORIO,,E21-1K-1,PERFORADORA KINGDEN MODELOS DE YESO PINDEX MOD 450-39,"●100W, vel: 5500 rotaciones por segundo, dims externas:16*16*33 cm, para colocal dawells (pines) de cualquier modelo con alta presición, el nivel de profundidad regulable, el cambio de fresas sencillo, autoprotección automática cuando se sobrecarga, alta precisión y sistema de refrigeración automático, autoprotección automática.","$5,850.00",16 * 16 * 33cm,5kg
LABORATORIO,,E26-1K-1,VACUUM KINGDEN AZUL,"● Gire la cubierta superior 90°, coloque el diafragma requerido entre el marco superior e inferior y tire de la plananca de bola para apretarlo, coloque el producto envasado (modelo) en el centro de la placa de malla, encienda el interruptor de calefacción y caliente el diafragma. Cuando el diafragma se caliente y el nivel de éste sea inferior al plano del marco","$2,790.00",30*20*21cm,5kg
LABORATORIO,,E26-1K-1B,VACUUM KINGDEN BLANCO,"● Cubierta superior a 90°, plananca de bola para apretarlo, placa de malla, interruptor de calefacción y caliente el diafragma. Cuando el diafragma se caliente y el nivel de éste sea inferior al plano del marco","$2,790.00",30*20*21cm,5kg
LABORATORIO,,I133-1K-1,PRENSA KINGDEN MEDIANA + 2 MUFLAS DE BRONCE,"● Fundición de bronce especial de alta resistencia al manganeso. Una llave y asa de sujeción que permiten la facil colocación y retiro de las ollas o frascos. Latón forjado al interior y exterior. Pernos de acero inoxidable, alinean de forma segura y precisa las secciones del matraz.","$3,803.00",20*15.5*14,5kg
LABORATORIO,,I95-1K-2,MUFLA P/DUPLICAR KINGDEN DE BRONCE UNIVERSAL,"● Bronce de alta calidad, posee mayor resistencia mecánica.",$539.00,9.5*5.5,1kg
LABORATORIO,,I95-1K-1,MUFLA P/ENFRASCAR KINGDEN DE BRONCE TOTAL,"● Bronce de alta calidad, posee mayor resistencia mecánica.",$750.00,3X10X9.5 cm,1.22kg
LABORATORIO,,E19-1K-1,PARALELOMETRO KINGDEN ARTICULADO,"● De escritorio para la operación de pulido mecánico, con la mesa mecánica ya no se tiene que recoge el polvo y cuenta con instalación de los amortiguadores izquierdo y derecho. El tubo ya no está fijado a la mesa a lo largo del puerto de succión, y puede ser transferido en cualquier momento a otros equipos.","$3,319.00",33*25*11,4gr
LABORATORIO,,E11-1K-1,CENTRIFUGA KINGDEN DE FUNDICION,"● La máquina de centrifugado o centrífuga manual está montada sobre rodamientos de alta eficiencia, con 4 bases y tambor protector.","$3,319.00",9.5-24-22,7kg
LABORATORIO,,E6-1K-1,ESPATULA ELECTRICA KINGDEN DOBLE P/CERA,"● Doble cuchillo de cera eléctrico, para trabajos simultaneos de tallado y modelado. Ajuste de temperatura de 50-200°C. Incluye 6 puntas de trabajo, 2 circuitos de trabajo. Trabaja con un voltaje de 110V-240V y potencia de 50W.","$1,687.00","20,7 x 16,1 x 8,5 cm",735 g
LABORATORIO,,E23-1-47,SOPLETE BUNSEN KINGDEN DOBLE TUBO P/LABORATORIO,"● Lámpara, mechero/bunsen de gas propano rotativa de doble tubo de salida, con sistema de control de válvulas. Elaborada de acero de alta resistencia.",$513.00,12.0*11*6,45 gr
LABORATORIO,,E23-1-45,SOPLETE P/LABORATORIO DE GAS,"● Voltaje: 110 V/60Hz, potencia: 50 W, Selección de temperatura: 50°C-200°C",$394.00,10.5*7.7*7.7 cm,24gr
LABORATORIO,,E25-1K-2,VIBRADOR KINGDEN CIRCULAR,"● Potencia:100W, dimensiones externas:14*15*11 cm, Peso total:1.7 kg","$1,103.00",10*14*14 cm,1.90 kg
LABORATORIO,,E25-1K-1,VIBRADOR KINGDEN RECTANGULAR,Potencia:150W●Carga máxima:3 kg●24*18*10cm●Crea oscilaciones verticales exclusivamene en el plano de trabajo●Mejora la terminación y el compactado al evitar la formación de burbujas●La frecuencia de vibración se regula en forma gradual en niveles.,"$3,015.00",8*20.3*15.4 cm,3.43 kg
LABORATORIO,,E18-1K-7,CAJA P/REVELADO KINGDEN,"● Está hecho de plástico de alta calidad, resistente a la corrosión y duradero. Creemos que debido al rendimiento. Los componentes, con excelente resistencia a la corrosión y fuerza, luz cualitativa fácil de mover, se pueden utilizar en cualquier mesa sólida. Excelente rendimiento: el cuarto oscuro de película de rayos X presenta un rendimiento confiable, una operación simple y un mantenimiento conveniente, lo que puede hacer que se sienta seguro del producto.","$3,523.00",29*35*34,3kg
LABORATORIO,,E16-1K-16,MICROMOTOR C/LUZ Y ASPIRADOR,"●Iluminación omnidireccional de 360 °: la lámpara puede girar 360 ° libremente para iluminar diferentes direcciones. ● Hasta 25000 rpm ●Filtro fino: aspiradora con filtro tipo pull, fácil de limpiar.","$1,980.00",27.5*19.5*7.5,1KG
LABORATORIO,,E16-1K-20,MICROMOTOR STRONG 204/102L P/LABORATORIO,"●Micromotor Dental Strong 204, Función de regulación manual de velocidad continua, Ajustable 0-35000 rpm a cualquier velocidad, Puede seleccionar el modo de trabajo positivo / inverso. Puede seleccionar el control manual / pedal.","$1,980.00",8.5*10.5*13 cm,2kg
LABORATORIO,,E16-1K-25,PIEZA DE MANO P/MICROMOTOR KINGDEN ESTUDIANTIL TIPO 102,"● 0-35000 rev/min, Vibración leve, con estructura interna que permite circulación de aire y un ventilador que evita el calentamiento. Tiene muelle protector de tres cilindros y cubierta a prueba de polvo que extiende la vida útil del muelle de tres lóbulos y el cojinete, Para mayor estabilidad en trabajos finos, la parte frontal es de acero inoxidable.","$1,998.00",16.4*1.2*2.3,23g
LABORATORIO,,E16-1K-27,PIEZA DE MANO P/MICROMOTOR KINGDEN P/LABORATORIO TIPO 102L,"● 0-35000 rev/min, Vibración leve, con estructura interna que permite circulación de aire y un ventilador que evita el calentamiento. Tiene muelle protector de tres cilindros y cubierta a prueba de polvo que extiende la vida útil del muelle de tres lóbulos y el cojinete, Para mayor estabilidad en trabajos finos, la parte frontal es de acero inoxidable.","$1,678.00",16.4*1.2*2.3,23g
LABORATORIO,,E16-1K-28,PIEZA DE MANO P/MICROMOTOR KINGDEN QUIRURGICA TIPO 108E,"● 0-35000 rev/min, Vibración leve, con estructura interna que permite circulación de aire y un ventilador que evita el calentamiento. Tiene muelle protector de tres cilindros y cubierta a prueba de polvo que extiende la vida útil del muelle de tres lóbulos y el cojinete, Para mayor estabilidad en trabajos finos, la parte frontal es de acero inoxidable.","$1,998.00",21*4.5*3cm,206g
LABORATORIO,,I8-1K-4,ARTICULADOR KINGDEN DE VISAGRA COMPLETO,"Instrumento de sostén, articulador de oclusión de bisagra",$180.00,8*6.5*10,18g
LABORATORIO,,I8-1K-6,ARTICULADOR KINGDEN DE VISAGRA MEDIANO,Articulador mediano con bisagra,$144.00,7.5*7.7*11,16g
LABORATORIO,,I8-1K-2,ARTICULADOR KINGDEN DE VISAGRA MAGICART,"● Articulador mecanico para fijar los dientes maxilares (superiores) y mandibulares (inferiores), reproducir las posiciones registradas de la mandíbula en relación con el maxilar, puede montar y eliminar de forma segura cualquier modelo de tamaño completo",$419.00,8*7*13,30gr
LABORATORIO,,I8-1K-11,ARTICULADOR KINGDEN P/ZOCALO RANURADO C/100,● Articulador para zocalos dentales de yeso.,$160.00,6.5*4.3*1,6gr
EQUIPO,,E12-1K-3,CAMARA INTRAORAL DENTAL KINGDEN WIFI C/BASE,"● camara para Endoscopia dental HD. Cámara oral con Respuesta rápida. Diseño portátil con señal WiFi remota y una apariencia simple, liviana y aerodinámica. Con cargador usb y base de soporte","$1,594.00",25*1.5*2,8gr
EQUIPO,,E9-1K-3,ESCARIADOR KINGDEN C/BOTE,"Lamáquina de limpieza dental ultrasónica ds7+ adopta un sistema de seguimiento de frecuencia totalmente automático. El producto puede realizar limpieza dental, salón de belleza y mascotas.","$6,500.00",40*15*30,3kg
EQUIPO,,E27-1K-2,MOTOR ELECTRICO KINGDEN P/PIEZA DE MANO 8078 PANTALLA TACTIL,"La velocidad máxima es de 40.000 RPM. El motor sin escobillas es más duradero. Control de pie del sillón dental con manos libres. • Perfectamente conectado con el sistema del sillón dental. Compatible con contraángulo 1:1, 1:5 y 16:1. La conexión de enchufe y enchufe es fácil de montar. La intensidad de 32.000 LUX ofrece una excelente visión de funcionamiento.","$19,000.00",24. 8cm*31.1cm*8.7cm,"1,66kg"
EQUIPO,,E14-1K-2,LAMPARA DE LUZ LED KINGDEN P/FOTOCURAR,● Modo de blanqueamiento de hasta 30 minutos. Modo de fotocurado fuerte: 5s-40s ajustable. Potencia de luz de más de 1700mw/c㎡. Tiempo de solidificación y profundidad：5s/3mm. Guía de luz de vidrio de alta transparencia. LED de potencia alta de 5W,"$1,400.00",14*7.4*6.8,186gr
